ID,DATETIME,RECIPE,RESULT,REASON,SCORE,IMAGE
29,2026-06-03 13:55:26,Recipe_01,NG,NG_PATTERN,60.033694667522184,images/NG/20260603_135526_464578.jpg
28,2026-06-03 13:55:19,Recipe_01,OK,OK,86.52669787406921,images/OK/20260603_135519_658720.jpg
27,2026-06-03 13:13:57,Recipe_01,OK,OK,61.481001153755805,images/OK/20260603_131357_222468.jpg
26,2026-06-03 13:13:55,Recipe_01,NG,NG_PATTERN,36.82969808578491,images/NG/20260603_131355_647479.jpg
25,2026-06-03 13:13:55,Recipe_01,NG,NG_PATTERN,61.601506943752156,images/NG/20260603_131355_122344.jpg
24,2026-06-03 13:13:40,Recipe_01,OK,OK,61.61277741494069,images/OK/20260603_131340_665232.jpg
23,2026-06-03 13:13:33,Recipe_01,OK,OK,61.620548710740856,images/OK/20260603_131333_153806.jpg
22,2026-06-03 13:13:31,Recipe_01,OK,OK,61.71533148491498,images/OK/20260603_131331_654384.jpg
21,2026-06-03 13:10:20,Recipe_01,OK,OK,61.22601562017925,images/OK/20260603_131020_784153.jpg
20,2026-06-03 13:10:11,Recipe_01,OK,OK,61.218860826645816,images/OK/20260603_131011_364569.jpg
19,2026-06-03 13:08:49,Recipe_01,OK,OK,60.771695895635766,images/OK/20260603_130849_237641.jpg
18,2026-06-03 13:08:47,Recipe_01,NG,NG_PATTERN,17.528341384859143,images/NG/20260603_130847_638261.jpg
17,2026-06-03 13:08:46,Recipe_01,NG,NG_PATTERN,18.684045933910003,images/NG/20260603_130846_584600.jpg
16,2026-06-03 13:08:44,Recipe_01,OK,OK,60.704756013941655,images/OK/20260603_130844_895262.jpg
15,2026-06-03 13:08:42,Recipe_01,NG,NG_PATTERN,20.550179935677644,images/NG/20260603_130842_551856.jpg
14,2026-06-03 13:08:20,Recipe_01,OK,OK,60.95378834717987,images/OK/20260603_130820_023188.jpg
13,2026-06-03 12:56:35,Recipe_01,NG,NG_PATTERN,-73.20897579193115,images/NG/20260603_125635_651393.jpg
12,2026-06-03 12:37:46,Recipe_01,OK,OK,66.2769336740519,images/OK/20260603_123745_994078.jpg
11,2026-06-03 12:36:46,Recipe_01,NG,NG_PATTERN,-2.3631365969777107,images/NG/20260603_123646_815002.jpg
10,2026-06-03 12:36:43,Recipe_01,OK,OK,66.44065279018469,images/OK/20260603_123643_870071.jpg
9,2026-06-03 12:36:20,Recipe_01,NG,NG_PATTERN,3.4582406282424927,images/NG/20260603_123620_825749.jpg
8,2026-06-03 12:36:17,Recipe_01,OK,OK,66.49619542329218,images/OK/20260603_123617_840462.jpg
7,2026-06-03 12:36:16,Recipe_01,OK,OK,66.50578968402476,images/OK/20260603_123616_289595.jpg
6,2026-06-03 12:36:14,Recipe_01,NG,NG_PATTERN,66.49898635164651,images/NG/20260603_123614_110015.jpg
5,2026-06-03 12:27:17,Recipe_01,NG,NG_PATTERN,-33.25363099575043,images/NG/20260603_122717_435891.jpg
4,2026-06-03 12:27:14,Recipe_01,NG,NG_PATTERN,-29.03469204902649,images/NG/20260603_122714_708232.jpg
3,2026-06-03 12:27:12,Recipe_01,OK,OK,62.40777504648541,images/OK/20260603_122712_219080.jpg
2,2026-06-03 12:26:42,Recipe_01,OK,OK,62.195550859342696,images/OK/20260603_122642_778357.jpg
1,2026-06-03 12:26:38,Recipe_01,NO_MASTER,NG_PATTERN,0.0,images/NO_MASTER/20260603_122638_526114.jpg
